10th(%),12th(%),Diploma Marks ,Overall CGPA,Overall %,Current backlogs,Score/800,Aptitude,English,Quantitative,Analytical,Domain,Computer Fundamentals,Coding,Written English,COMPANY PLACED
76,80.83,0,7.72,69.7,0,397,27,33,0,47,30,67,0,44,Infosys Ltd.
94.4,84,0,8.05,73,0,485,44,40,30,60,40,60,0,38,UdEST
86.4,80.83,0,6.76,60.1,0,344,31,27,27,40,35,0,0,0,Mindtree Ltd./Codecraft Technologies Pvt. Ltd./Revature
67.36,56.04,0,6.67,59.2,1,433,44,53,27,53,0,33,0,28,None
66.88,70,0,7.18,64.3,0,449,42,53,40,33,40,27,0,25,None
60,0,62,6.47,57.2,0,337,24,20,7,47,20,27,0,28,None
70.3,54,0,6,52.5,4,479,51,53,47,53,0,47,0,49,None
85,70,0,5.77,50.18,1,470,44,47,40,47,0,53,0,65,None
80.8,72.5,0,7.57,68.2,0,527,51,33,60,60,35,67,51,72,TCS Ltd/Elcamino Software Pvt Ltd
74,65,0,6.29,55.38,0,470,44,53,47,33,25,53,42,55,None
88,85,0,7.43,66.84,0,529,51,60,47,47,30,60,43,59,"TCS Ltd.,/Codecraft Technologies Pvt. Ltd."
92.8,83.3,0,8.07,73.16,0,557,58,33,67,73,35,67,45,58,None
91.68,84.66,0,7.4,66.47,0,569,67,80,33,87,50,47,10,63, iWave Systems Technologies Pvt. Ltd
79.5,79.6,0,7.25,65.04,0,510,51,80,13,60,30,47,0,62,None
62,62,0,7.04,62.92,0,431,40,33,20,67,0,47,0,0,None
90.08,82,0,6.91,61.64,0,560,64,67,60,67,40,80,10,58,PlanetSpark
73.76,62.83,0,6.75,60.02,0,472,44,60,33,40,20,47,0,74,None
87,68,56,5.18,44.25,0,325,29,53,13,20,25,0,0,0,None
81.7,80.16,0,7.49,67.37,0,521,51,73,27,53,35,53,14,77,Rupeek(Cocubes)
84.4,68.3,0,7.65,69.01,0,500,53,73,33,53,0,33,10,37,Lido Learning/Poornam Infovision/Qspiders/Accenture
